,year,points_scored_gm,rush_yds_gm,pass_yds_gm,total_yds_gm,points_allowed_gm,rush_yds_allowed_gm,pass_yds_allowed_gm,yds_allowed_gm,TeamID
482,2004,26.5,119.2,278.1,397.3,23.8,117.4,228.9,346.3,GB
483,2004,25.3,113.9,282.2,396.2,24.7,125.4,243.5,368.9,MIN
484,2004,23.8,145.8,249.9,395.8,19.0,94.5,184.2,278.7,DEN
485,2004,19.9,101.5,265.8,367.3,24.5,136.2,198.4,334.6,
486,2004,27.3,133.4,224.2,357.6,16.2,98.2,212.5,310.8,NE
487,2004,23.2,130.9,221.2,352.1,23.3,126.9,224.4,351.3,SEA
488,2004,24.1,102.4,248.7,351.1,16.2,118.9,200.8,319.7,PHI
489,2004,27.9,136.6,209.8,346.4,19.6,81.7,253.3,335.0,
490,2004,21.5,116.9,226.0,342.9,27.4,119.8,237.9,357.8,TEN
491,2004,20.8,149.2,190.6,339.9,16.3,97.9,207.0,304.9,NYJ
492,2004,22.2,98.9,227.7,326.6,21.2,119.0,217.4,336.4,CAR
493,2004,18.3,110.6,214.2,324.8,25.3,110.2,220.1,330.3,DAL
494,2004,21.8,100.4,224.2,324.6,25.3,140.8,243.0,383.8,NO
495,2004,23.2,154.0,170.0,324.0,15.7,81.2,177.2,258.4,PIT
496,2004,20.0,80.9,241.1,322.1,27.6,125.8,245.2,371.0,
497,2004,23.4,114.9,206.3,321.2,23.2,128.9,206.4,335.3,CIN
498,2004,19.3,117.6,202.9,320.5,21.2,115.2,225.9,341.1,HOU
499,2004,21.2,167.0,150.8,317.8,21.1,105.1,220.4,325.4,ATL
500,2004,16.3,115.6,197.4,313.1,17.5,111.1,209.8,320.9,JAX
501,2004,18.8,93.1,217.1,310.2,19.0,123.3,161.2,284.5,TB
502,2004,18.9,119.0,176.1,295.1,21.7,134.8,189.4,324.2,NYG
503,2004,18.5,111.1,182.2,293.3,21.9,117.9,219.6,337.6,DET
504,2004,24.7,117.1,176.1,293.2,17.8,100.2,164.0,264.2,BUF
505,2004,16.2,90.6,196.0,286.6,28.2,124.7,217.9,342.6,SF
506,2004,17.8,104.2,180.1,284.4,20.1,131.6,189.8,321.3,ARI
507,2004,17.2,103.6,176.5,280.1,24.4,144.6,181.3,325.9,CLE
508,2004,17.2,83.7,191.6,275.2,22.1,143.9,162.0,305.9,MIA
509,2004,15.0,110.3,164.5,274.8,16.6,81.5,186.1,267.6,WAS
510,2004,19.8,128.9,144.5,273.4,16.8,105.1,195.1,300.2,BAL
511,2004,14.4,101.5,137.0,238.5,20.7,128.1,208.8,336.9,CHI
512,2003,26.0,146.4,246.9,393.4,22.1,117.4,217.3,334.8,MIN
513,2003,30.2,120.6,248.8,369.4,20.8,146.5,210.2,356.7,KC
514,2003,27.9,105.9,261.2,367.1,21.0,123.8,175.6,299.3,IND
515,2003,27.6,159.9,202.5,362.4,19.2,106.3,212.5,318.8,GB
516,2003,24.0,142.4,213.0,355.4,21.1,105.6,202.4,308.0,SF
517,2003,25.2,125.6,226.1,351.7,20.4,109.9,217.5,327.4,SEA
518,2003,23.8,164.3,185.6,349.9,18.8,100.3,176.8,277.1,DEN
519,2003,27.2,101.4,242.4,343.8,20.2,80.9,225.4,306.3,TEN
520,2003,27.9,93.5,247.6,341.1,20.5,123.8,192.0,315.8,
521,2003,18.8,103.0,237.8,340.8,16.5,109.8,169.4,279.1,TB
522,2003,21.2,125.0,214.9,339.9,20.4,140.1,187.1,327.1,NO
523,2003,17.2,129.6,205.3,334.9,20.7,87.9,203.2,291.1,JAX
524,2003,21.6,124.2,208.9,333.1,24.0,138.6,212.6,351.2,CIN
525,2003,19.6,134.1,188.8,322.9,27.6,138.6,210.9,349.6,
526,2003,18.1,124.9,197.6,322.6,16.2,89.1,164.4,253.5,DAL
527,2003,20.3,130.7,190.6,321.3,19.0,107.6,187.7,295.3,CAR
528,2003,21.8,100.4,214.5,314.9,14.9,89.6,202.0,291.6,NE
529,2003,23.4,125.9,188.8,314.7,17.9,129.4,202.2,331.7,PHI
530,2003,17.7,102.2,207.2,309.4,18.7,143.4,189.1,332.4,NYJ
531,2003,15.2,97.4,211.4,308.9,24.2,119.2,213.2,332.5,NYG
532,2003,24.4,167.1,140.9,308.1,17.6,96.0,175.3,271.3,BAL
533,2003,18.8,93.0,206.5,299.5,20.4,108.8,190.1,298.9,PIT
534,2003,17.9,103.3,187.9,291.2,23.2,138.6,199.7,338.2,WAS
535,2003,19.4,113.6,174.5,288.1,16.3,90.8,208.4,299.2,MIA
536,2003,16.9,113.9,171.9,285.8,23.7,156.9,212.1,369.0,
537,2003,15.9,104.4,177.1,281.5,20.1,132.1,177.9,309.9,CLE
538,2003,14.1,95.7,184.9,280.6,28.2,119.7,224.3,344.0,ARI
539,2003,17.7,110.2,163.6,273.8,21.6,116.6,192.6,309.2,CHI
540,2003,18.7,121.8,150.5,272.3,26.4,144.2,237.5,381.8,ATL
541,2003,15.2,104.0,167.8,271.8,17.4,100.4,169.2,269.6,BUF
542,2003,15.9,103.2,165.9,269.1,23.8,148.1,232.0,380.1,HOU
543,2003,16.9,83.6,182.8,266.4,23.7,111.4,223.6,335.0,DET
544,2002,28.1,110.1,279.7,389.8,19.0,90.8,220.4,311.2,
545,2002,24.4,156.7,230.3,387.0,27.6,104.1,256.4,360.6,MIN
546,2002,24.5,141.6,239.0,380.6,21.5,93.1,208.6,301.6,DEN
547,2002,29.2,148.6,226.4,375.0,24.9,129.2,261.3,390.5,KC
548,2002,24.4,132.5,239.5,372.0,21.6,85.9,216.2,302.2,PIT
549,2002,20.0,117.2,246.9,364.1,17.4,114.4,194.9,309.3,NYG
550,2002,22.2,108.8,254.9,363.6,23.1,152.6,213.2,365.8,SEA
551,2002,22.9,140.2,216.1,356.3,21.9,103.2,219.1,322.4,SF
552,2002,21.8,97.6,253.4,351.0,19.6,124.5,182.3,306.8,IND
553,2002,25.9,138.8,211.5,350.2,15.1,103.8,193.4,297.1,PHI
554,2002,23.7,99.8,249.7,349.4,24.8,132.6,191.7,324.3,BUF
555,2002,24.9,120.8,226.7,347.5,20.5,124.9,186.7,311.6,GB
556,2002,19.8,87.8,259.6,347.4,23.1,113.5,200.6,314.1,
557,2002,25.1,148.0,197.9,345.9,19.6,127.9,205.4,333.4,ATL
558,2002,23.6,156.4,180.6,337.0,18.8,97.1,193.9,291.0,MIA
559,2002,20.8,133.6,199.2,332.8,22.9,108.7,268.4,377.1,
560,2002,22.9,122.0,207.5,329.5,20.2,89.0,221.2,310.2,TEN
561,2002,17.4,108.1,217.2,325.4,28.5,125.2,203.9,329.1,CIN
562,2002,27.0,110.2,215.1,325.3,24.2,124.4,237.8,362.2,NO
563,2002,19.2,118.1,203.4,321.4,22.8,109.6,189.6,299.2,WAS
564,2002,23.8,94.2,223.6,317.8,21.6,137.4,198.7,336.1,NE
565,2002,22.4,101.1,213.6,314.8,21.0,123.3,218.1,341.4,NYJ
566,2002,21.5,100.9,213.2,314.2,20.0,129.9,204.3,334.2,CLE
567,2002,21.6,97.3,215.3,312.6,12.2,97.1,155.6,252.8,TB
568,2002,20.5,130.6,172.6,303.2,19.7,129.4,204.0,333.4,JAX
569,2002,19.8,112.0,177.9,289.9,22.1,110.1,224.4,334.6,BAL
570,2002,16.4,113.9,171.2,285.2,26.1,134.1,242.1,376.2,ARI
571,2002,19.1,92.3,187.1,279.4,28.2,122.9,259.4,382.3,DET
572,2002,17.6,84.0,190.7,274.7,23.7,129.8,220.6,350.4,CHI
573,2002,13.6,109.6,163.8,273.4,20.6,113.6,215.6,329.2,DAL
574,2002,16.1,99.1,168.4,267.5,18.9,103.3,187.1,290.4,CAR
575,2002,13.3,84.2,139.1,223.2,22.2,130.6,196.3,326.9,HOU
576,2001,31.4,126.7,291.4,418.1,17.1,85.9,193.6,279.4,
577,2001,25.8,122.9,249.3,372.2,30.4,132.2,225.0,357.2,IND
578,2001,22.0,173.4,194.6,367.9,13.2,74.7,183.9,258.6,PIT
579,2001,25.6,140.2,215.3,355.6,17.6,98.2,211.4,309.6,SF
580,2001,20.0,125.5,229.1,354.6,21.5,133.8,197.8,331.5,KC
581,2001,24.4,105.8,235.6,341.4,16.6,110.6,198.0,308.6,GB
582,2001,24.9,103.4,231.7,335.1,20.4,124.2,192.7,316.9,
583,2001,21.0,112.1,222.4,334.5,24.2,89.4,255.2,344.7,TEN
584,2001,18.4,111.1,222.4,333.4,20.1,96.6,214.4,310.9,NYG
585,2001,20.8,107.0,219.6,326.6,25.6,107.2,209.7,316.9,NO
586,2001,20.8,105.9,219.1,325.0,20.1,94.0,212.5,306.5,
587,2001,18.1,100.6,223.5,324.1,24.4,143.7,210.4,354.1,MIN
588,2001,16.6,105.4,215.7,321.1,26.2,133.3,197.4,330.8,BUF
589,2001,18.9,113.1,207.1,320.2,16.6,88.2,189.7,277.9,BAL
590,2001,18.2,110.1,206.8,316.9,23.6,121.4,243.9,365.3,ATL
591,2001,16.9,87.4,224.8,312.1,26.5,124.6,220.5,345.1,DET
592,2001,21.4,111.1,196.6,307.7,13.0,114.8,179.0,293.8,PHI
593,2001,18.4,90.6,215.6,306.1,21.4,130.4,224.9,355.3,ARI
594,2001,23.2,112.1,193.1,305.1,17.0,115.9,218.6,334.5,NE
595,2001,18.4,100.0,202.5,302.5,17.9,100.7,216.2,316.9,JAX
596,2001,21.5,104.0,197.3,301.3,18.1,111.2,176.8,288.0,MIA
597,2001,21.2,117.3,183.8,301.1,21.2,93.2,205.1,298.4,DEN
598,2001,14.1,107.0,193.0,300.0,19.3,104.7,197.3,302.0,CIN
599,2001,19.2,128.4,171.3,299.7,18.4,134.6,187.4,322.1,NYJ
600,2001,18.8,121.0,177.2,298.2,20.2,107.6,217.8,325.4,SEA
601,2001,21.1,108.9,184.5,293.4,12.7,82.1,229.1,311.1,CHI
602,2001,20.2,85.7,207.7,293.4,17.5,106.4,184.4,290.8,TB
603,2001,16.0,121.8,155.4,277.2,18.9,116.8,186.1,302.9,WAS
604,2001,15.4,136.5,138.6,275.1,21.1,106.9,180.6,287.4,DAL
605,2001,15.8,85.8,180.1,265.9,25.6,143.8,227.6,371.4,CAR
606,2001,17.8,84.4,175.1,259.5,19.9,138.0,193.1,331.1,CLE
607,2000,33.8,115.2,327.0,442.2,29.4,106.1,237.3,343.4,
608,2000,30.3,144.4,265.2,409.6,23.1,99.9,246.6,346.5,DEN
609,2000,26.8,116.2,267.6,383.8,20.4,120.9,213.9,334.8,IND
610,2000,24.2,112.6,264.9,377.5,26.4,112.1,244.7,356.8,SF
611,2000,24.8,133.1,239.5,372.6,23.2,111.8,244.6,356.3,MIN
612,2000,29.9,154.4,206.6,361.0,18.7,96.9,231.1,328.1,
613,2000,22.9,127.0,228.6,355.6,20.4,105.3,197.5,302.8,JAX
614,2000,22.2,91.6,259.3,350.9,22.1,113.1,216.9,330.0,KC
615,2000,19.7,120.1,223.5,343.6,21.9,97.4,179.2,276.6,BUF
616,2000,22.1,129.2,208.1,337.3,19.1,104.5,191.9,296.4,NO
617,2000,17.6,109.2,228.0,337.2,16.8,115.8,163.8,279.6,WAS
618,2000,20.1,91.9,245.2,337.2,20.1,118.0,183.2,301.2,NYJ
619,2000,20.5,125.6,210.4,336.0,15.4,72.2,211.9,284.1,NYG
620,2000,21.6,130.2,204.1,334.4,11.9,86.9,151.4,238.3,TEN
621,2000,22.1,102.7,229.9,332.6,20.2,101.1,215.7,316.8,GB
622,2000,20.8,137.4,175.9,313.4,10.3,60.6,187.3,247.9,BAL
623,2000,21.9,117.6,195.2,312.9,15.3,114.4,186.9,301.2,PHI
624,2000,20.1,140.5,157.4,297.9,15.9,105.8,188.8,294.6,PIT
625,2000,20.0,107.5,185.0,292.5,25.3,153.4,246.1,399.4,SEA
626,2000,19.4,74.1,216.8,290.9,19.4,121.5,232.0,353.5,CAR
627,2000,24.2,129.1,161.4,290.6,16.8,103.0,197.0,300.0,TB
628,2000,17.2,86.9,198.8,285.7,21.1,114.4,220.1,334.6,NE
629,2000,13.5,108.5,175.3,283.8,22.2,114.2,212.9,327.1,CHI
630,2000,13.1,79.9,203.1,283.0,27.7,163.1,195.5,358.6,ARI
631,2000,18.4,122.1,157.6,279.7,22.6,164.8,168.3,333.1,DAL
632,2000,20.2,118.4,160.4,278.8,14.1,108.5,181.2,289.8,MIA
633,2000,19.2,109.2,167.2,276.4,19.2,113.9,200.6,314.6,DET
634,2000,16.8,66.4,202.4,268.8,27.5,88.9,221.1,309.9,
635,2000,11.6,144.6,121.6,266.2,22.4,120.3,222.6,342.9,CIN
636,2000,15.8,75.9,173.8,249.6,25.8,123.9,226.5,350.4,ATL
637,2000,10.1,67.8,152.8,220.6,26.2,156.6,196.1,352.7,CLE
