,Name,PlayerID,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
1003,Tom Brady,1350,"6' 4""",70%,225 lbs,60%,5.28 sec,3%,4.38 sec,46%,7.20 sec,25%,24.5 in,6%,99 in,7%,NaN,NaN,NaN,NaN,NaN,NaN
1254,Drew Brees,2178,"6' 0""",5%,209 lbs,9%,4.83 sec,47%,4.21 sec,73%,7.09 sec,48%,32.0 in,60%,105 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
1289,Will Allen,2213,"5' 10""",20%,192 lbs,50%,4.58 sec,20%,4.25 sec,28%,7.06 sec,13%,36.0 in,60%,115 in,15%,NaN,NaN,NaN,NaN,NaN,NaN
1297,Reggie Wayne,2221,"6' 0""",30%,203 lbs,48%,4.45 sec,70%,NaN,NaN,NaN,NaN,36.0 in,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338,Steve Smith,2263,"5' 9""",8%,195 lbs,34%,4.44 sec,72%,4.19 sec,60%,6.68 sec,85%,38.0 in,83%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
2068,Terrell Suggs,3001,"6' 3""",20%,265 lbs,47%,4.84 sec,45%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2075,Terence Newman,3008,"5' 10""",20%,197 lbs,70%,4.37 sec,90%,3.83 sec,99%,6.88 sec,39%,41.0 in,92%,136 in,99%,10 reps,10%,NaN,NaN,NaN,NaN
2095,Andre Johnson,3028,"6' 3""",80%,229 lbs,94%,4.41 sec,80%,4.10 sec,82%,NaN,NaN,41.0 in,95%,129 in,92%,NaN,NaN,NaN,NaN,NaN,NaN
2101,Kevin Williams,3034,"6' 5""",90%,311 lbs,71%,4.81 sec,96%,5.04 sec,6%,7.66 sec,29%,30.0 in,60%,112 in,88%,23 reps,15%,NaN,NaN,NaN,NaN
2113,Calvin Pace,3046,"6' 4""",90%,265 lbs,97%,4.79 sec,29%,NaN,NaN,NaN,NaN,33.0 in,40%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
2118,Dallas Clark,3051,"6' 3""",10%,257 lbs,63%,NaN,NaN,NaN,NaN,NaN,NaN,37.5 in,90%,123 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
2141,Anquan Boldin,3074,"6' 1""",40%,220 lbs,87%,4.72 sec,4%,4.33 sec,28%,7.35 sec,3%,33.5 in,30%,114 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
2153,Jason Witten,3086,"6' 6""",80%,263 lbs,84%,4.65 sec,75%,NaN,NaN,NaN,NaN,31.0 in,30%,NaN,NaN,25 reps,83%,NaN,NaN,NaN,NaN
2154,Nate Burleson,3087,"6' 0""",30%,198 lbs,40%,4.51 sec,47%,4.16 sec,68%,6.96 sec,38%,42.5 in,99%,126 in,85%,NaN,NaN,NaN,NaN,NaN,NaN
2220,Tony Romo,3153,"6' 2""",30%,230 lbs,73%,5.01 sec,15%,4.20 sec,74%,7.11 sec,44%,30.0 in,35%,105 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
2797,Larry Fitzgerald,3730,"6' 3""",80%,218 lbs,84%,4.48 sec,60%,4.28 sec,37%,6.94 sec,42%,38.0 in,83%,NaN,NaN,NaN,NaN,10.50 in,97%,NaN,NaN
2801,Mike Williams,3734,"6' 5""",93%,229 lbs,94%,4.53 sec,40%,4.31 sec,32%,6.90 sec,50%,33.5 in,30%,116 in,25%,8 reps,7%,NaN,NaN,NaN,NaN
2806,Kellen Winslow,3739,"6' 4""",30%,240 lbs,9%,4.55 sec,88%,4.10 sec,95%,6.71 sec,100%,33.5 in,60%,121 in,87%,24 reps,80%,NaN,NaN,NaN,NaN
2823,Steven Jackson,3756,"6' 2""",93%,240 lbs,93%,4.55 sec,47%,4.09 sec,90%,7.03 sec,44%,37.5 in,87%,117 in,45%,16 reps,15%,NaN,NaN,NaN,NaN
2831,Ben Roethlisberger,3764,"6' 5""",80%,240 lbs,91%,4.75 sec,65%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2833,Philip Rivers,3766,"6' 5""",80%,228 lbs,68%,5.08 sec,9%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2836,Will Smith,3769,"6' 3""",20%,282 lbs,86%,4.60 sec,92%,NaN,NaN,7.42 sec,16%,38.5 in,93%,117 in,60%,30 reps,85%,NaN,NaN,NaN,NaN
2837,Vince Wilfork,3770,"6' 2""",20%,325 lbs,87%,5.08 sec,53%,4.50 sec,78%,7.62 sec,34%,26.5 in,25%,101 in,23%,36 reps,90%,NaN,NaN,NaN,NaN
2846,Daryl Smith,3779,"6' 2""",50%,250 lbs,86%,4.61 sec,77%,NaN,NaN,NaN,NaN,29.5 in,9%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2860,Matt Schaub,3793,"6' 6""",90%,245 lbs,93%,5.04 sec,12%,4.66 sec,6%,7.65 sec,0%,30.5 in,40%,110 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
2917,Jerricho Cotchery,3850,"6' 1""",40%,205 lbs,53%,4.54 sec,37%,3.92 sec,98%,6.95 sec,40%,36.0 in,60%,121 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
2939,Ben Watson,3872,"6' 3""",10%,255 lbs,55%,4.57 sec,86%,4.15 sec,91%,7.39 sec,13%,35.5 in,80%,123 in,91%,34 reps,99%,NaN,NaN,NaN,NaN
2965,Karlos Dansby,3898,"6' 4""",90%,250 lbs,86%,4.58 sec,83%,4.46 sec,16%,7.48 sec,7%,35.0 in,60%,NaN,NaN,15 reps,7%,NaN,NaN,NaN,NaN
2969,Darnell Dockett,3902,"6' 4""",50%,290 lbs,92%,5.00 sec,10%,NaN,NaN,NaN,NaN,31.0 in,30%,105 in,8%,26 reps,70%,NaN,NaN,NaN,NaN
2978,Keith Smith,3911,"5' 11""",50%,182 lbs,10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.63 in,85%,32.63 in,90%
3315,Wes Welker,4248,"5' 9""",8%,185 lbs,15%,4.65 sec,8%,4.01 sec,93%,7.09 sec,16%,30.0 in,7%,113 in,9%,NaN,NaN,NaN,NaN,NaN,NaN
3373,Alex Smith,4306,"6' 4""",70%,213 lbs,15%,4.71 sec,72%,3.97 sec,100%,6.82 sec,88%,32.0 in,60%,113 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
3374,Aaron Rodgers,4307,"6' 2""",30%,225 lbs,60%,4.71 sec,72%,NaN,NaN,7.39 sec,7%,34.5 in,87%,110 in,50%,NaN,NaN,9.38 in,30%,NaN,NaN
3378,Jason Campbell,4311,"6' 5""",80%,235 lbs,86%,4.71 sec,72%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3379,Dan Orlovsky,4312,"6' 5""",80%,215 lbs,20%,4.93 sec,28%,4.43 sec,36%,NaN,NaN,NaN,NaN,30 in,0%,107 reps,100%,NaN,NaN,NaN,NaN
3380,Derek Anderson,4313,"6' 6""",90%,235 lbs,86%,5.03 sec,13%,4.67 sec,6%,NaN,NaN,29.0 in,25%,103 in,13%,NaN,NaN,NaN,NaN,NaN,NaN
3387,Darren Sproles,4320,"5' 6""",0%,190 lbs,8%,4.47 sec,75%,3.96 sec,98%,6.96 sec,55%,33.0 in,30%,105 in,3%,23 reps,70%,NaN,NaN,NaN,NaN
3401,Ronnie Brown,4334,"6' 0""",80%,223 lbs,75%,4.43 sec,84%,4.14 sec,80%,NaN,NaN,34.0 in,40%,117 in,45%,18 reps,30%,NaN,NaN,NaN,NaN
3417,Roddy White,4350,"6' 0""",30%,211 lbs,70%,4.46 sec,67%,4.01 sec,93%,7.12 sec,10%,41.0 in,95%,126 in,85%,18 reps,75%,NaN,NaN,NaN,NaN
3452,Ryan Fitzpatrick,4385,"6' 2""",30%,228 lbs,68%,4.86 sec,39%,4.07 sec,92%,NaN,NaN,30.5 in,40%,105 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
3467,Frank Gore,4400,"5' 9""",20%,212 lbs,47%,4.58 sec,38%,4.11 sec,86%,6.91 sec,66%,34.0 in,40%,109 in,9%,NaN,NaN,NaN,NaN,NaN,NaN
3478,Courtney Roby,4411,"6' 0""",30%,189 lbs,22%,4.41 sec,80%,4.00 sec,93%,NaN,NaN,36.5 in,70%,126 in,85%,NaN,NaN,NaN,NaN,NaN,NaN
3481,Vincent Jackson,4414,"6' 5""",93%,230 lbs,94%,4.46 sec,67%,4.00 sec,93%,NaN,NaN,39.0 in,90%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3522,Thomas Davis,4455,"6' 1""",10%,235 lbs,20%,4.60 sec,80%,3.97 sec,98%,7.09 sec,58%,36.5 in,75%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
3523,Carlos Rogers,4456,"6' 0""",65%,195 lbs,63%,4.44 sec,65%,3.82 sec,100%,6.48 sec,100%,40.5 in,91%,126 in,75%,15 reps,50%,NaN,NaN,NaN,NaN
3526,Brandon Browner,4459,"6' 4""",100%,220 lbs,99%,4.63 sec,10%,4.24 sec,30%,7.20 sec,5%,36.5 in,65%,123 in,60%,13 reps,30%,NaN,NaN,NaN,NaN
3538,Marcus Spears,4471,"6' 4""",50%,315 lbs,100%,5.05 sec,8%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3541,DeMarcus Ware,4474,"6' 4""",90%,258 lbs,93%,4.56 sec,87%,4.07 sec,92%,6.83 sec,93%,38.5 in,88%,122 in,83%,27 reps,80%,NaN,NaN,NaN,NaN
3543,Justin Tuck,4476,"6' 5""",70%,265 lbs,47%,4.71 sec,78%,4.29 sec,82%,7.33 sec,26%,37.5 in,91%,118 in,70%,24 reps,50%,NaN,NaN,NaN,NaN
3544,Chris Canty,4477,"6' 7""",94%,317 lbs,100%,4.98 sec,14%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3551,Jonathan Babineaux,4484,"6' 2""",20%,300 lbs,30%,4.87 sec,91%,4.62 sec,55%,7.71 sec,26%,109.0 in,100%,30 in,0%,21 reps,9%,NaN,NaN,NaN,NaN
3553,Derrick Johnson,4486,"6' 3""",70%,242 lbs,50%,4.52 sec,91%,3.87 sec,100%,7.20 sec,42%,37.5 in,83%,120 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
3554,Kevin Burnett,4487,"6' 3""",70%,230 lbs,10%,4.58 sec,83%,NaN,NaN,NaN,NaN,36.0 in,70%,130 in,96%,20 reps,30%,NaN,NaN,NaN,NaN
3573,Michael Boley,4506,"6' 2""",50%,236 lbs,25%,4.56 sec,87%,4.12 sec,89%,7.08 sec,59%,34.0 in,53%,113 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
3622,Trent Cole,4555,"6' 3""",70%,270 lbs,99%,4.70 sec,52%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3641,Matt Cassel,4574,"6' 4""",70%,225 lbs,60%,4.88 sec,36%,4.06 sec,93%,7.20 sec,25%,34.0 in,83%,115 in,80%,NaN,NaN,NaN,NaN,NaN,NaN
3763,Josh Shaw,4697,"6' 2""",20%,290 lbs,10%,4.44 sec,100%,4.12 sec,100%,7.01 sec,100%,37.5 in,100%,130 in,100%,26 reps,30%,NaN,NaN,NaN,NaN
3779,C.J. Mosley,4713,"6' 2""",20%,315 lbs,77%,5.08 sec,53%,4.64 sec,52%,8.21 sec,2%,27.5 in,35%,100 in,20%,27 reps,40%,NaN,NaN,NaN,NaN
3783,Lance Moore,4717,"5' 9""",8%,190 lbs,24%,4.52 sec,43%,4.32 sec,30%,7.12 sec,10%,40.0 in,93%,117 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
3790,Devin Hester,4724,"5' 11""",20%,190 lbs,24%,4.41 sec,80%,NaN,NaN,NaN,NaN,38.0 in,83%,124 in,75%,16 reps,60%,NaN,NaN,NaN,NaN
3793,Vince Young,4727,"6' 5""",80%,232 lbs,80%,4.48 sec,95%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3797,Antonio Cromartie,4731,"6' 2""",93%,210 lbs,94%,4.47 sec,53%,NaN,NaN,NaN,NaN,38.0 in,77%,132 in,94%,18 reps,80%,NaN,NaN,NaN,NaN
3798,Vernon Davis,4732,"6' 3""",10%,248 lbs,30%,4.38 sec,99%,4.17 sec,90%,7.00 sec,91%,42.0 in,98%,128 in,97%,33 reps,98%,NaN,NaN,NaN,NaN
3799,Maurice Jones-Drew,4733,"5' 7""",5%,210 lbs,40%,4.39 sec,91%,4.41 sec,19%,7.08 sec,38%,36.0 in,70%,116 in,40%,18 reps,30%,NaN,NaN,NaN,NaN
3802,Santonio Holmes,4736,"5' 11""",20%,192 lbs,28%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3807,Richard Marshall,4741,"5' 11""",50%,198 lbs,75%,4.42 sec,73%,4.16 sec,48%,6.65 sec,85%,37.0 in,70%,129 in,90%,12 reps,20%,NaN,NaN,NaN,NaN
3809,Haloti Ngata,4743,"6' 4""",60%,340 lbs,93%,5.13 sec,39%,4.69 sec,43%,7.97 sec,10%,31.5 in,77%,110 in,83%,37 reps,91%,NaN,NaN,NaN,NaN
3810,Bernard Pollard,4744,"6' 1""",40%,226 lbs,93%,4.57 sec,50%,NaN,NaN,NaN,NaN,36.5 in,60%,131 in,96%,NaN,NaN,NaN,NaN,NaN,NaN
3815,Reggie Bush,4749,"6' 0""",80%,205 lbs,26%,4.37 sec,92%,NaN,NaN,NaN,NaN,40.5 in,95%,128 in,93%,24 reps,80%,NaN,NaN,NaN,NaN
3818,Donte Whitner,4752,"5' 10""",10%,208 lbs,43%,4.40 sec,92%,NaN,NaN,NaN,NaN,40.0 in,91%,132 in,97%,18 reps,60%,NaN,NaN,NaN,NaN
3819,Mario Williams,4753,"6' 6""",90%,300 lbs,97%,4.70 sec,80%,4.36 sec,67%,7.19 sec,47%,40.5 in,97%,120 in,80%,35 reps,92%,NaN,NaN,NaN,NaN
3821,Anthony Fasano,4755,"6' 4""",30%,255 lbs,55%,NaN,NaN,4.34 sec,62%,6.94 sec,93%,33.5 in,60%,112 in,30%,19 reps,30%,NaN,NaN,NaN,NaN
3834,Johnathan Joseph,4768,"5' 11""",50%,186 lbs,20%,4.31 sec,95%,4.23 sec,32%,6.92 sec,33%,37.0 in,70%,123 in,60%,15 reps,50%,NaN,NaN,NaN,NaN
3836,Derrick Martin,4770,"5' 11""",50%,189 lbs,30%,4.50 sec,43%,3.95 sec,91%,6.72 sec,77%,40.0 in,90%,127 in,80%,17 reps,70%,NaN,NaN,NaN,NaN
3849,Jay Cutler,4783,"6' 3""",60%,231 lbs,77%,4.77 sec,62%,4.31 sec,58%,7.12 sec,42%,NaN,NaN,NaN,NaN,23 reps,80%,NaN,NaN,NaN,NaN
3889,Jason Avant,4823,"6' 0""",30%,210 lbs,67%,4.62 sec,10%,NaN,NaN,NaN,NaN,37.0 in,75%,128 in,91%,20 reps,90%,NaN,NaN,NaN,NaN
3891,Charlie Whitehurst,4825,"6' 5""",80%,226 lbs,63%,4.75 sec,65%,4.12 sec,87%,7.00 sec,74%,33.0 in,70%,112 in,65%,NaN,NaN,NaN,NaN,NaN,NaN
3893,Kellen Clemens,4827,"6' 2""",30%,220 lbs,37%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3896,Bruce Gradkowski,4830,"6' 1""",10%,217 lbs,27%,4.59 sec,88%,4.16 sec,80%,NaN,NaN,34.0 in,83%,107 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
3901,Tarvaris Jackson,4835,"6' 2""",30%,225 lbs,60%,4.69 sec,76%,4.40 sec,42%,7.41 sec,6%,31.5 in,55%,107 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
3904,DeAngelo Williams,4838,"5' 9""",20%,207 lbs,30%,4.45 sec,80%,4.10 sec,88%,6.57 sec,98%,34.5 in,50%,129 in,94%,25 reps,85%,NaN,NaN,NaN,NaN
3907,Leon Washington,4841,"5' 8""",10%,192 lbs,9%,4.42 sec,86%,4.37 sec,30%,NaN,NaN,32.5 in,25%,105 in,3%,17 reps,20%,NaN,NaN,NaN,NaN
3936,Derek Hagan,4870,"6' 2""",60%,210 lbs,67%,4.45 sec,70%,4.07 sec,88%,NaN,NaN,36.0 in,60%,124 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
3937,Greg Jennings,4871,"6' 0""",30%,198 lbs,40%,4.42 sec,78%,4.18 sec,63%,6.69 sec,83%,36.5 in,70%,117 in,30%,NaN,NaN,9.00 in,20%,30.00 in,7%
3945,Brandon Marshall,4879,"6' 5""",93%,232 lbs,95%,4.52 sec,43%,NaN,NaN,NaN,NaN,37.0 in,75%,120 in,50%,28 reps,100%,NaN,NaN,NaN,NaN
3950,Marques Colston,4884,"6' 4""",90%,225 lbs,92%,4.50 sec,50%,4.44 sec,10%,6.96 sec,38%,37.0 in,75%,123 in,70%,NaN,NaN,9.63 in,75%,33.38 in,83%
3954,Delanie Walker,4888,"6' 2""",0%,248 lbs,30%,4.49 sec,93%,NaN,NaN,NaN,NaN,36.5 in,85%,118 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
3956,Miles Austin,4890,"6' 2""",60%,215 lbs,80%,4.47 sec,63%,4.14 sec,73%,7.09 sec,16%,40.5 in,94%,123 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
3957,Marcedes Lewis,4891,"6' 6""",80%,267 lbs,91%,4.80 sec,36%,4.84 sec,0%,7.24 sec,27%,37.0 in,88%,118 in,75%,23 reps,70%,NaN,NaN,NaN,NaN
3964,Owen Daniels,4898,"6' 3""",10%,245 lbs,18%,4.65 sec,75%,4.11 sec,94%,6.88 sec,96%,34.5 in,70%,114 in,50%,23 reps,70%,NaN,NaN,NaN,NaN
3970,Manny Lawson,4904,"6' 5""",95%,240 lbs,40%,4.43 sec,98%,4.21 sec,72%,6.90 sec,89%,39.5 in,91%,124 in,90%,23 reps,50%,NaN,NaN,NaN,NaN
3971,Tamba Hali,4905,"6' 3""",70%,275 lbs,100%,4.87 sec,17%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3972,Kamerion Wimbley,4906,"6' 4""",50%,258 lbs,24%,4.61 sec,91%,4.48 sec,38%,6.97 sec,91%,38.5 in,93%,129 in,94%,24 reps,50%,NaN,NaN,NaN,NaN
3973,Mathias Kiwanuka,4907,"6' 5""",70%,267 lbs,53%,4.70 sec,80%,4.13 sec,92%,7.27 sec,33%,32.0 in,40%,120 in,80%,17 reps,8%,NaN,NaN,NaN,NaN
3975,Darryl Tapp,4909,"6' 1""",0%,270 lbs,60%,4.83 sec,48%,4.48 sec,38%,7.31 sec,29%,33.0 in,50%,109 in,20%,27 reps,75%,NaN,NaN,NaN,NaN
3979,Elvis Dumervil,4913,"5' 11""",3%,250 lbs,86%,4.75 sec,40%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30 reps,91%,NaN,NaN,NaN,NaN
3981,Parys Haralson,4915,"6' 0""",7%,255 lbs,92%,4.80 sec,28%,4.26 sec,63%,7.37 sec,19%,32.0 in,30%,115 in,45%,24 reps,60%,NaN,NaN,NaN,NaN
3982,Chad Greenway,4916,"6' 3""",70%,237 lbs,30%,4.76 sec,37%,4.22 sec,70%,7.01 sec,73%,33.5 in,50%,117 in,55%,16 reps,9%,NaN,NaN,NaN,NaN
4017,Brodrick Bunkley,4951,"6' 2""",20%,306 lbs,55%,5.01 sec,70%,NaN,NaN,NaN,NaN,32.5 in,85%,113 in,90%,44 reps,96%,NaN,NaN,NaN,NaN
4030,Michael Huff,4964,"6' 0""",35%,204 lbs,27%,4.34 sec,98%,NaN,NaN,NaN,NaN,40.5 in,92%,125 in,83%,21 reps,80%,NaN,NaN,NaN,NaN
4032,Jason Allen,4966,"6' 0""",35%,209 lbs,47%,4.39 sec,93%,3.81 sec,100%,6.75 sec,80%,39.5 in,90%,131 in,96%,17 reps,50%,NaN,NaN,NaN,NaN
4034,Roman Harper,4968,"6' 1""",40%,205 lbs,30%,4.50 sec,73%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,70%,NaN,NaN,NaN,NaN
4038,Antoine Bethea,4972,"5' 11""",20%,206 lbs,35%,4.39 sec,93%,4.11 sec,80%,6.99 sec,50%,36.5 in,60%,127 in,90%,19 reps,70%,NaN,NaN,NaN,NaN
4057,Will Blackmon,4991,"6' 0""",35%,212 lbs,65%,4.47 sec,82%,4.23 sec,45%,6.67 sec,93%,41.0 in,92%,133 in,99%,NaN,NaN,NaN,NaN,NaN,NaN
4058,Barry Cofield,4992,"6' 4""",60%,303 lbs,43%,4.95 sec,82%,4.35 sec,93%,7.43 sec,65%,34.0 in,93%,105 in,50%,35 reps,87%,NaN,NaN,NaN,NaN
4060,Gerrick McPhearson,4994,"5' 10""",20%,196 lbs,67%,4.42 sec,73%,NaN,NaN,NaN,NaN,41.5 in,93%,129 in,90%,18 reps,80%,NaN,NaN,NaN,NaN
4066,Eric Winston,5000,"6' 7""",80%,310 lbs,37%,4.94 sec,92%,4.49 sec,92%,7.47 sec,83%,29.0 in,65%,108 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
4095,Jason Hatcher,5029,"6' 6""",90%,299 lbs,96%,4.82 sec,50%,4.49 sec,37%,7.67 sec,3%,35.5 in,80%,113 in,43%,28 reps,80%,NaN,NaN,NaN,NaN
4096,Frostee Rucker,5030,"6' 3""",20%,261 lbs,30%,4.88 sec,35%,NaN,NaN,NaN,NaN,29.5 in,17%,110 in,25%,NaN,NaN,NaN,NaN,NaN,NaN
4109,Ben Obomanu,5043,"6' 1""",40%,205 lbs,53%,4.45 sec,70%,4.23 sec,50%,7.18 sec,8%,38.0 in,83%,116 in,25%,NaN,NaN,9.00 in,20%,33.00 in,70%
4110,Jeremy Mincey,5044,"6' 4""",50%,280 lbs,84%,4.76 sec,66%,4.25 sec,85%,6.99 sec,89%,33.5 in,55%,116 in,55%,27 reps,75%,NaN,NaN,NaN,NaN
4171,Kedric Golston,5105,"6' 4""",60%,330 lbs,90%,4.88 sec,91%,4.45 sec,87%,7.60 sec,38%,33.0 in,90%,111 in,85%,31 reps,70%,NaN,NaN,NaN,NaN
4176,Cortland Finnegan,5110,"5' 10""",20%,190 lbs,40%,4.34 sec,93%,4.34 sec,14%,6.95 sec,27%,44.0 in,98%,128 in,85%,14 reps,40%,NaN,NaN,NaN,NaN
4204,Heath Farwell,5138,"6' 0""",7%,235 lbs,20%,4.60 sec,80%,4.43 sec,19%,7.00 sec,74%,36.0 in,70%,117 in,55%,NaN,NaN,NaN,NaN,NaN,NaN
4255,Calvin Johnson,5189,"6' 5""",93%,237 lbs,98%,4.35 sec,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.75 in,80%,33.38 in,83%
4259,Sidney Rice,5193,"6' 4""",90%,202 lbs,47%,4.51 sec,47%,4.34 sec,26%,7.09 sec,16%,39.5 in,91%,119 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
4261,Jon Beason,5195,"6' 0""",7%,232 lbs,14%,4.72 sec,48%,NaN,NaN,NaN,NaN,NaN,NaN,111 in,20%,19 reps,20%,NaN,NaN,NaN,NaN
4262,Alan Branch,5196,"6' 6""",100%,350 lbs,95%,5.07 sec,57%,NaN,NaN,NaN,NaN,27.5 in,35%,107 in,60%,33 reps,80%,NaN,NaN,NaN,NaN
4266,Charles Johnson,5200,"6' 2""",10%,278 lbs,81%,4.84 sec,45%,NaN,NaN,7.50 sec,9%,34.0 in,60%,118 in,70%,33 reps,91%,NaN,NaN,NaN,NaN
4268,Marshawn Lynch,5202,"5' 11""",60%,215 lbs,55%,4.46 sec,78%,4.58 sec,6%,7.05 sec,42%,35.5 in,65%,125 in,90%,20 reps,50%,NaN,NaN,NaN,NaN
4269,Robert Meachem,5203,"6' 2""",60%,215 lbs,80%,4.39 sec,84%,4.31 sec,32%,6.97 sec,37%,37.5 in,80%,121 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
4270,Zach Miller,5204,"6' 5""",60%,255 lbs,55%,4.87 sec,22%,4.42 sec,43%,7.01 sec,91%,34.0 in,65%,115 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
4272,Greg Olsen,5206,"6' 5""",60%,255 lbs,55%,4.51 sec,91%,4.48 sec,33%,7.04 sec,88%,35.5 in,80%,114 in,50%,23 reps,70%,NaN,NaN,NaN,NaN
4273,Darrelle Revis,5207,"5' 11""",50%,198 lbs,75%,4.38 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,60%,NaN,NaN,NaN,NaN
4275,Lawrence Timmons,5209,"6' 1""",10%,242 lbs,50%,4.66 sec,63%,4.32 sec,45%,6.92 sec,86%,35.0 in,60%,123 in,87%,25 reps,70%,NaN,NaN,NaN,NaN
4280,Ted Ginn,5214,"5' 11""",20%,180 lbs,9%,4.38 sec,86%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4281,Adrian Peterson,5215,"6' 1""",90%,220 lbs,70%,4.40 sec,90%,4.40 sec,20%,7.09 sec,36%,38.5 in,91%,127 in,92%,NaN,NaN,NaN,NaN,NaN,NaN
4295,Jacoby Jones,5229,"6' 2""",60%,215 lbs,80%,4.50 sec,50%,4.31 sec,32%,7.03 sec,27%,34.0 in,35%,129 in,92%,NaN,NaN,NaN,NaN,NaN,NaN
4316,Chris Jones,5250,"6' 1""",0%,293 lbs,94%,5.33 sec,0%,4.44 sec,45%,7.34 sec,25%,NaN,NaN,NaN,NaN,30 reps,85%,NaN,NaN,NaN,NaN
4317,Drew Stanton,5251,"6' 3""",60%,226 lbs,63%,4.75 sec,65%,4.41 sec,40%,NaN,NaN,30.5 in,40%,108 in,35%,NaN,NaN,NaN,NaN,NaN,NaN
4319,Kevin Kolb,5253,"6' 3""",60%,218 lbs,30%,4.85 sec,40%,4.44 sec,34%,NaN,NaN,32.5 in,65%,112 in,65%,NaN,NaN,NaN,NaN,NaN,NaN
4320,Jordan Palmer,5254,"6' 5""",80%,232 lbs,80%,4.98 sec,18%,4.58 sec,10%,NaN,NaN,30.5 in,40%,104 in,17%,NaN,NaN,NaN,NaN,NaN,NaN
4333,Ahmad Bradshaw,5267,"5' 10""",50%,217 lbs,60%,4.55 sec,47%,4.09 sec,90%,6.70 sec,93%,34.0 in,40%,112 in,20%,NaN,NaN,NaN,NaN,NaN,NaN
4340,Brian Leonard,5274,"6' 1""",90%,224 lbs,77%,4.52 sec,57%,4.22 sec,57%,NaN,NaN,34.5 in,50%,122 in,80%,28 reps,92%,NaN,NaN,NaN,NaN
4344,Dwayne Bowe,5278,"6' 2""",60%,222 lbs,90%,4.51 sec,47%,4.35 sec,24%,6.81 sec,68%,33.0 in,20%,125 in,80%,NaN,NaN,9.88 in,85%,33.68 in,89%
